"","Sample.Name","Nucleic.Acid.ng.uL.","A260.A280","A260.A230","A260","A280","Nucleic.Acid.Factor","Baseline.Correction..nm.","Baseline.Absorbance"
"79","GRS_T2D_087",173.966,1.863,2.492,3.479,1.867,50,340,-0.001
"80","GRS_T2D_088",92.382,1.856,2.346,1.848,0.996,50,340,0.091
"81","GRS_T2D_089",110.287,1.695,1.021,2.206,1.301,50,340,10.118
"82","GRS_T2D_090",173.512,1.872,2.443,3.47,1.854,50,340,0.114
"83","GRS_T2D_091",89.746,1.823,1.882,1.795,0.985,50,340,0.329
"84","GRS_T2D_092",74.107,1.809,1.887,1.482,0.819,50,340,0.27
"85","GRS_T2D_093",135.221,1.853,2.453,2.704,1.459,50,340,0.012
"86","GRS_T2D_094",98.476,1.858,2.297,1.97,1.06,50,340,0.049
"87","GRS_T2D_095",110.494,1.856,2.383,2.21,1.191,50,340,0.062
"88","GRS_T2D_096",78.646,1.751,1.606,1.573,0.899,50,340,1.06
"89","GRS_T2D_097",54.987,1.86,2.543,1.1,0.591,50,340,0.023
"90","GRS_T2D_098",79.862,1.802,2.041,1.597,0.886,50,340,0.68
"91","GRS_T2D_099",70.857,1.845,0.704,1.417,0.768,50,340,0.142
"92","GRS_T2D_100",53.515,1.87,2.541,1.07,0.572,50,340,0.028
"93","GRS_T2D_101",73.629,1.817,2.168,1.473,0.811,50,340,0.168
"94","GRS_T2D_102",55.971,1.836,2.213,1.119,0.61,50,340,0.09
"95","GRS_T2D_103",58.368,1.865,2.433,1.167,0.626,50,340,0.011
"96","GRS_T2D_104",48.305,1.856,2.416,0.966,0.521,50,340,-0.014
